title,rating,snippet
Francesca Ashley Inguito,1,"This was awful, the dialogue of characters in story's take to long, even that alone takes me out, and lantern rite AFTER the archon Mavuika debuts?! It's honestly baffling, I'll take the time to list all the flaws in my opinion. It focuses on only one opinion of one side, I'm talking about how they only the opinion of Chinese players, Its one sided, The designs, for me, its natlan designs, for example, chasca, she does NOT fit in with the cultures of natlan, I'd say more but wouldnt fit."
Ikmal Hariz,5,MANYAK BAGUS LA I LIKE CUMA PLS CEPAT KAN SIKIT DOWNLOAD SO OVERALL I THINK IS 9.8/10
Luna,5,Good
Mohamad Indra N.,1,"The lack of a skip button is one of my main reasons to quit and convert to WuWa. It's beyond irritating doing humongous yapping fest quests with dogshit stories, dialogues, and recycled animations. It's time-consuming and infuriating. You wanna make the players pay attention to the story? Then make a good story with engaging storytelling. Instead of a boring yapping fest which you force players to get through. I'll never return to the game and stick to WuWa until they add it."
Elizer Vaxter,1,I like capitano. I'm a male. I'm not gay. See what I did there?
Isabella Castl,1,I can't even play on Chromebook. its irritating.
ʀɛʏʐʏ ɴᴏᴛᴜʀᴛʏᴘᴇ.,1,sucks RNG
Fernanda Solis Fuentes (ʚstarsrequiemɞ ꨄ),1,the amount of money y'all could have made if capitano we're to be playable.. 🙁
artik5552,1,"Basically to sum everything in one, this game is a waste of your time and a tricksteri. As hoyoverse do not respect your hard earned primogems.They just want you to spend money. Wasted 50 k gems on the 50/50 system. Like if we don't spend enough gems already just to get what we want,hey? Noo,spend more!lose more 50/50 to get unneeded stuff you won't ever need and same goes for weapon banner not only character banner. Don't play this Game,for your own good."
Полина Подъячева,1,Игра параша
Craftsman Tool,5,I want father
Blob,1,Putting both new characters in the same half while giving rewards in the next half is absolutely greedy and disgusting.
Harsh Gupta,3,Graphics were stunning for sure But i couldn't understand what to do or how i should play Instructions were not clear
مصعب,5,Good
Starriboo,5,"Game is very fun and the new updates are fun as well. With the new updaye Natlan, im very pleased with how much fun it is and hiw much it gives to the players. Can we hope that the bext region(s) could have the same profit of Natlan please? Especially as an ftp player :)"
Calynn CJ,5,I love this game. My mother introduced it to me in 2023 during Neuvilletes banner and ive been OBSESSED!!!! 10/10 graphics 10/10 character design 10/10 lore 10/10 gameplay
Jasin,5,Don't touch my coco melon
Lehakoe,4,Genshin impact is a really fun game LOVE it
anthimaria07 /ᐠ。ꞈ。ᐟ\,1,Where's wriothesley
Shupty Chowdhury,5,THIS Is BEST GAME.
Samridhi Pradhan,5,LOOOOVE LOVE IT!!
Lina Malatji,5,Genshin is soooooo good but when in Co - op mode you can't talk to npcs but it is OK CAUSE IT'S SOOOOOO FUN
Adem Zaghdoudi,5,"To the esteemed Hoyoverse team, Warm greetings, I am one of the passionate fans of your exceptional game,and as an Arabic-speaking player, I would like to kindly request that you consider adding Arabic as a supported language in the game's interface and translations. Arabic holds a significant global position, with over 400 million speakers, and there is a large community of Arab players who love and enjoy your game Adding Arabic would not only attract more Arab players but also enhance game"
Amirreza Emami,5,Perfect graphics
Kakan Kanti Barua,2,Need to archon quest skip option
Abood,5,👍🏻
Emmanuel Rosado,1,Telling content creators to not play Wuthering Waves just cause they don't want competition is a bad look. I understand there's people who enjoy genshin but there's people who also enjoy Waves and there isn't anything wrong with that. Maybe make your game better and you'd get your fans you lost there's a reason why Genshin players are switching and prefer Wuthering Waves. Competition is suppose to push you to be better not be weak and beg people to play your lackluster game
Larc Moore,5,It was fun
Selina Vishnar,1,"I would give a none star, like when the source are about to complete it says I have to manage my storage and all my progress stops! It's so frustrating! Can you like small it's storage!? It's almost takes half of the storage....pls do something"
Harsh Kumar,5,Exceptionally good even on snapdragon 695 can play game at 30fps highest settings
Jeremmy Xaviere,5,"Only one word , ""Perfect"""
Gucci,5,Pretty god than others games I played. Thanks to make a such amazing game which I can feel.
cary waltonjr.,5,Fun
Yash Kumar,5,I like this game Best Open world game till now in mobile now. As an f2p Primos 😅 are the real boss .
Kayra Alp Köksal,5,Good
Adrian Muu,5,Really enjoy this game Embarking on this adventure brings a smile to my face. The journey is filled with delightful discoveries. Each challenge presents a unique opportunity to learn and grow. I find myself captivated by the immersive world. The overall experience is truly enjoyable.
Terry Watts,5,good game to play
Naziya Amjad,5,Good story game to play
Ericcris Gonzaga,5,Good
Anuj Prajapat,5,Good
prosier Laval,5,OBSESSED WITH THIS GAMEEE
Ash Din,1,Enemy lvl 90 in quest echo very nice lol bro pls use brain
Thomas Paul,5,Noice
Suraj Dagla,1,Game size is to big
datinmanis bersemut,5,I like the animation and the game.Thanks for making this game!!! ❤️✨
SALAR LD Besfki,5,I love this game (capitano)
Dionesio Zarate,5,Genshin please give my account back
Imran Mod,5,I love gambling and also cool story and graphics
Tabasom Kiani,5,بهترین بازی دنیاا واقعا خیلی خوبه هرکی بازیش نکنه از دنیا عقبه
Jazzy Light,1,"on my phone It downloaded without a problem but everytime I try and download it on my computer it works untill I get to compiling shaders where it stops at 13% or around that every time, it'll kick me out and no matter what I do it won't work"
erenjaeuwus,3,"Ive played since new year of 2021. Love the game its very pretty and very fun. But the RNG is ATROCIOUS. The amount of long dialogues there are lack of animation is awkward. The world quests should be voiced. Natlan is cool but not what 80% of the fanbase expected...it feels too colorful for a region of war. Fontaine was perfect. This game is dear to my heart, but I genuinely believe it can SO much better. It feels like a chore now when I used to play it everyday, now it feels annoying to play"
Kartheek Vishal Reddy,5,"One of the best games I've ever played Stunning visuals, Amazing world building Good story. Only downside is we can't use it offline,it would have been great if we could do atleast something when we don't have internet"
Oscar P,1,They lied about giving away stuff that they said they're going to give away I did what they said I did everything but I did not get it they lied it's a very hard game to not get it even though it says
Shivam Kumar,5,I love this game 😍
Sagar Narayan,1,I Don't Know why a game like this Doesn't have Controller supports
Aila Gatuz,5,"One of the best game i've played. Great story, smooth graphics, beautiful scenery and of course, the cute voice of Paimon hehe"
Dalko,5,Cool
Noire,5,The best
Nicolas,5,Genshin is my fav game now
eimiel valencia,5,Very Exciting Game!
Pratikhit piyush Sahu,5,lovely game i found no lags but 🥵 quickly
Minhaz Rafi,5,It fantastic game I love it
Akshay Hirve,4,Too much yappin
