rating,cleaned_snippet,true_sentiment,predicted_sentiment
3.0,ve review decide edit response current opinion game great graphic stunning story nice long excessive make feel like chore end game get reward struggle farming upgrade character hassle resin energy cap upgrade cost energy lower game good time consume,positive,positive
3.0,fun wish fighting quest bunch talk run come quest want leave game bring potential awesome battle turn dialogue not skip lot potential leave ability skip dialogue,negative,positive
3.0,fun game enjoy story ton ton content clear bore pick problem long time character rerun year character available kill enjoyment lot people not able favorite,positive,positive
5.0,game phenomenal art style scenery stunning yes game long s fun take journey give memory worth remember combat fun devs work storage control have issue game size ignore hatefulspam review bot people try ruin joy,negative,positive
2.0,love game incredibly laggy point unplayable graphic low setting include fps manage crash not storage lot point genshin barely make dent not wifi run smoothly app fix optimize well mobile player,positive,positive
3.0,obsess game not play month boring repetitive gameplay get developer not care player feedback pick choose feedback use incorporate quality life change speak take   year implement qol change request year shame genshin impact dev team need well,negative,negative
5.0,highly recommend play game year   impressed mechanic captivate storyline constant update game interesting ensure player stay engage lore impressive graphic great gameplay absolutely awesome cutscene especially   update impressed reccomende friend enjoy play game till day,positive,positive
4.0,hello absolutely love game incredible graphic ton fun play lately try open say game bug kick loading screen say developer need fix issue game open fix issue love game look forward play end day thank,negative,positive
4.0,ve play game january th   real complaint style nice fan service character interesting way s soooooo s go to add game make boring old phone samsung galaxy se run smoothly ll glitch bad pc pc run bit life explode play game,positive,positive
1.0,unintereste character unintereste dialog story potential not tell   year game story not complete relese moreit get boring quickly usually open world adventure game find explore gorgeous open world hour engross story enjoy write character game deliver thing,negative,positive
4.0,amazing game beautiful character design amazing s say recent issue game crash m d think crash crashed m wander middle dialog right complete domain force redo compatibility mode run smooth not help crash,positive,positive
5.0,love game couple issue take sooooo space phone hard character storyline one amazing game definitely recommend    edit ok m ve get new character friend teach use wish system hehe ve get geo archon quest fontaine beautiful city not wait new update thing mobile glitchy understand,negative,positive
5.0,initially star review long review anymore good faith love art style game music amazing world beautiful month ago finish main story new patch update drop main story finish quickly character story quest game get stagnet thing ask hsr instead personally annoying love,positive,positive
5.0,mobile phone game play start play honestly fun ve game long time m glad get support external storage device allow external memory stick insert thr game optimize feature graphic section game option menu ll analyze device automatically adjust game run smoothly possible say device nice,negative,positive
3.0,play sep   game beautiful love different nation character design undtrack topti enjoy world exploration puzzle battle difficult leave review current state game leave pretty disappointed frustrated lategame content dull monotonous tedious socalled reward insult measly plain stingy gatcha game well,positive,positive
5.0,awesome game main story quest extremely wellwritten immersive country design enjoyable puzzle unlock reward elemental fighting system unique fun exception character beautifully design fairly easy resource obtain highly recommend,negative,positive
5.0,game long certain quest like rollercoaster high lot quest low hard get high level definitely cost money want wish character special weapon purchase special item use lot memory get sluggish not memory later not build character correctly difficult time repetitive farming battle,positive,positive
5.0,ve play game     year little release pretty fun like aspect game like lore gameplay character overtime feel like event story get boring repetitive especially recently ve get disappoint new character design like emilie natlan character sethos not feel special old one end game experience not great,negative,positive
3.0,feel like game lot fun not use eat battery storage wifi not load lot time understand big game need lot resource function crash single time ridiculous time actually able play amazing m seriously think give genshin,positive,positive
4.0,lot massive open world variety character elemental power multiple weapon include mage long term game downside insanely difficult artifact equip character stat look plus single run farm different type artifact instead make hard ll spend lot resin energy barely exactly want build single character developer improve,negative,negative
1.0,like game early game story fun like old character ton issue player continue bring fall deaf ear late game play not scale exp random bad guy run map world level increase difficult level character later gameplay random bug thing refuse fix needle will not redownloade,positive,positive
