rating,likes,date,iso_date,response,cleaned_snippet
3.0,88,"October 09, 2024",2024-10-09T00:08:20Z,,ve review decide edit response current opinion game great graphic stunning story nice long excessive make feel like chore end game get reward struggle farming upgrade character hassle resin energy cap upgrade cost energy lower game good time consume
3.0,35,"October 12, 2024",2024-10-12T06:39:01Z,,fun wish fighting quest bunch talk run come quest want leave game bring potential awesome battle turn dialogue not skip lot potential leave ability skip dialogue
3.0,11,"October 30, 2024",2024-10-30T18:01:37Z,,fun game enjoy story ton ton content clear bore pick problem long time character rerun year character available kill enjoyment lot people not able favorite
5.0,77,"October 18, 2024",2024-10-18T19:11:12Z,,game phenomenal art style scenery stunning yes game long s fun take journey give memory worth remember combat fun devs work storage control have issue game size ignore hatefulspam review bot people try ruin joy
2.0,14,"October 14, 2024",2024-10-14T03:04:43Z,,love game incredibly laggy point unplayable graphic low setting include fps manage crash not storage lot point genshin barely make dent not wifi run smoothly app fix optimize well mobile player
3.0,99,"October 13, 2024",2024-10-13T14:02:08Z,,obsess game not play month boring repetitive gameplay get developer not care player feedback pick choose feedback use incorporate quality life change speak take   year implement qol change request year shame genshin impact dev team need well
5.0,65,"October 18, 2024",2024-10-18T15:20:11Z,,highly recommend play game year   impressed mechanic captivate storyline constant update game interesting ensure player stay engage lore impressive graphic great gameplay absolutely awesome cutscene especially   update impressed reccomende friend enjoy play game till day
4.0,29,"October 29, 2024",2024-10-29T00:27:08Z,,hello absolutely love game incredible graphic ton fun play lately try open say game bug kick loading screen say developer need fix issue game open fix issue love game look forward play end day thank
4.0,64,"October 08, 2024",2024-10-08T23:13:09Z,,ve play game january th   real complaint style nice fan service character interesting way s soooooo s go to add game make boring old phone samsung galaxy se run smoothly ll glitch bad pc pc run bit life explode play game
1.0,14,"November 11, 2024",2024-11-11T22:58:07Z,,unintereste character unintereste dialog story potential not tell   year game story not complete relese moreit get boring quickly usually open world adventure game find explore gorgeous open world hour engross story enjoy write character game deliver thing
4.0,110,"October 06, 2024",2024-10-06T23:24:44Z,,amazing game beautiful character design amazing s say recent issue game crash m d think crash crashed m wander middle dialog right complete domain force redo compatibility mode run smooth not help crash
5.0,644,"October 07, 2024",2024-10-07T01:36:51Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'Thank you for supporting Genshin Impact, Traveler! If you have any issues with your game experience, please send us an email or contact Customer Service for help via in-game feedback.', 'date': 'November 28, 2023', 'iso_date': '2023-11-28T11:35:08Z'}",love game couple issue take sooooo space phone hard character storyline one amazing game definitely recommend    edit ok m ve get new character friend teach use wish system hehe ve get geo archon quest fontaine beautiful city not wait new update thing mobile glitchy understand
5.0,665,"September 16, 2024",2024-09-16T05:02:39Z,,initially star review long review anymore good faith love art style game music amazing world beautiful month ago finish main story new patch update drop main story finish quickly character story quest game get stagnet thing ask hsr instead personally annoying love
