rating,likes,date,iso_date,response,cleaned_snippet,sentiment,sentiment_prob
3.0,88,"October 09, 2024",2024-10-09T00:08:20Z,,ve review decide edit response current opinion game great graphic stunning story nice long excessive make feel like chore end game get reward struggle farming upgrade character hassle resin energy cap upgrade cost energy lower game good time consume,Negatif,0.561774492263794
3.0,35,"October 12, 2024",2024-10-12T06:39:01Z,,fun wish fighting quest bunch talk run come quest want leave game bring potential awesome battle turn dialogue not skip lot potential leave ability skip dialogue,Negatif,0.565175473690033
3.0,11,"October 30, 2024",2024-10-30T18:01:37Z,,fun game enjoy story ton ton content clear bore pick problem long time character rerun year character available kill enjoyment lot people not able favorite,Negatif,0.5621041655540466
5.0,77,"October 18, 2024",2024-10-18T19:11:12Z,,game phenomenal art style scenery stunning yes game long s fun take journey give memory worth remember combat fun devs work storage control have issue game size ignore hatefulspam review bot people try ruin joy,Negatif,0.5603926181793213
2.0,14,"October 14, 2024",2024-10-14T03:04:43Z,,love game incredibly laggy point unplayable graphic low setting include fps manage crash not storage lot point genshin barely make dent not wifi run smoothly app fix optimize well mobile player,Negatif,0.5618327260017395
3.0,99,"October 13, 2024",2024-10-13T14:02:08Z,,obsess game not play month boring repetitive gameplay get developer not care player feedback pick choose feedback use incorporate quality life change speak take   year implement qol change request year shame genshin impact dev team need well,Negatif,0.559684157371521
5.0,65,"October 18, 2024",2024-10-18T15:20:11Z,,highly recommend play game year   impressed mechanic captivate storyline constant update game interesting ensure player stay engage lore impressive graphic great gameplay absolutely awesome cutscene especially   update impressed reccomende friend enjoy play game till day,Negatif,0.5599470138549805
4.0,29,"October 29, 2024",2024-10-29T00:27:08Z,,hello absolutely love game incredible graphic ton fun play lately try open say game bug kick loading screen say developer need fix issue game open fix issue love game look forward play end day thank,Negatif,0.5623629689216614
4.0,64,"October 08, 2024",2024-10-08T23:13:09Z,,ve play game january th   real complaint style nice fan service character interesting way s soooooo s go to add game make boring old phone samsung galaxy se run smoothly ll glitch bad pc pc run bit life explode play game,Negatif,0.5606728196144104
1.0,14,"November 11, 2024",2024-11-11T22:58:07Z,,unintereste character unintereste dialog story potential not tell   year game story not complete relese moreit get boring quickly usually open world adventure game find explore gorgeous open world hour engross story enjoy write character game deliver thing,Negatif,0.5586344003677368
4.0,110,"October 06, 2024",2024-10-06T23:24:44Z,,amazing game beautiful character design amazing s say recent issue game crash m d think crash crashed m wander middle dialog right complete domain force redo compatibility mode run smooth not help crash,Negatif,0.5573471188545227
5.0,644,"October 07, 2024",2024-10-07T01:36:51Z,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'Thank you for supporting Genshin Impact, Traveler! If you have any issues with your game experience, please send us an email or contact Customer Service for help via in-game feedback.', 'date': 'November 28, 2023', 'iso_date': '2023-11-28T11:35:08Z'}",love game couple issue take sooooo space phone hard character storyline one amazing game definitely recommend    edit ok m ve get new character friend teach use wish system hehe ve get geo archon quest fontaine beautiful city not wait new update thing mobile glitchy understand,Negatif,0.5651269555091858
5.0,665,"September 16, 2024",2024-09-16T05:02:39Z,,initially star review long review anymore good faith love art style game music amazing world beautiful month ago finish main story new patch update drop main story finish quickly character story quest game get stagnet thing ask hsr instead personally annoying love,Negatif,0.5626624226570129
5.0,432,"August 26, 2024",2024-08-26T07:22:49Z,,mobile phone game play start play honestly fun ve game long time m glad get support external storage device allow external memory stick insert thr game optimize feature graphic section game option menu ll analyze device automatically adjust game run smoothly possible say device nice,Negatif,0.5586175918579102
3.0,212,"September 04, 2024",2024-09-04T01:37:19Z,,play sep   game beautiful love different nation character design undtrack topti enjoy world exploration puzzle battle difficult leave review current state game leave pretty disappointed frustrated lategame content dull monotonous tedious socalled reward insult measly plain stingy gatcha game well,Negatif,0.5598601698875427
5.0,412,"August 16, 2024",2024-08-16T20:52:40Z,,awesome game main story quest extremely wellwritten immersive country design enjoyable puzzle unlock reward elemental fighting system unique fun exception character beautifully design fairly easy resource obtain highly recommend,Negatif,0.5624241828918457
5.0,337,"October 09, 2024",2024-10-09T09:44:29Z,,game long certain quest like rollercoaster high lot quest low hard get high level definitely cost money want wish character special weapon purchase special item use lot memory get sluggish not memory later not build character correctly difficult time repetitive farming battle,Negatif,0.5632742643356323
5.0,1301,"September 03, 2024",2024-09-03T21:44:35Z,,ve play game     year little release pretty fun like aspect game like lore gameplay character overtime feel like event story get boring repetitive especially recently ve get disappoint new character design like emilie natlan character sethos not feel special old one end game experience not great,Negatif,0.5625733733177185
3.0,11,"September 20, 2024",2024-09-20T23:46:12Z,,feel like game lot fun not use eat battery storage wifi not load lot time understand big game need lot resource function crash single time ridiculous time actually able play amazing m seriously think give genshin,Negatif,0.5598709583282471
4.0,434,"September 05, 2024",2024-09-05T12:39:16Z,,lot massive open world variety character elemental power multiple weapon include mage long term game downside insanely difficult artifact equip character stat look plus single run farm different type artifact instead make hard ll spend lot resin energy barely exactly want build single character developer improve,Negatif,0.5609086155891418
1.0,1282,"August 10, 2024",2024-08-10T09:30:15Z,,like game early game story fun like old character ton issue player continue bring fall deaf ear late game play not scale exp random bad guy run map world level increase difficult level character later gameplay random bug thing refuse fix needle will not redownloade,Negatif,0.5571691393852234
3.0,14,"October 03, 2024",2024-10-03T15:10:43Z,,star dock personal opinion people review address poor recent character design slow story wish option let pick commission want reach max reputation nation annoying try certain one unlock sort storyline achievement cool interact commission board pick,Negatif,0.5600180625915527
4.0,0,"November 09, 2024",2024-11-09T18:47:00Z,,pretty good game good graphic cool design character nice storyline voice act freely explore game high ar get boringi try like permanent mini game great game,Negatif,0.5613886117935181
3.0,256,"June 27, 2024",2024-06-27T01:41:03Z,,great game enjoy lot try come love explore accomplish quest come exploring thing notice recently completely change thought game experience try sign tend laggy crash time thing want point fact not fun update attention game,Negatif,0.5621605515480042
5.0,170,"August 10, 2024",2024-08-10T05:23:28Z,,genshin impact visually satisfying beautiful game control simple crossplatform experience seamless play console home laptop travel pick leave phone m spend dime not want story immersive evolve new character adventure constantly add m impressed aspect genshin impact not recommend,Negatif,0.5600259304046631
