keyword,score
game,20.601586458834188
character,12.169826975472537
play,11.248380114040188
like,9.417105748453563
story,8.769003957783507
good,8.656639131845727
quest,7.02683200512892
love,6.109052600226757
fun,5.769198291908721
lot,5.651805718082107
time,5.537179093926817
amazing,5.269068253964021
graphic,5.0409102162296335
genshin,4.968455687506992
great,4.940095309476627
player,4.719138455367546
world,4.589010585685237
update,4.500004885870903
star,4.489997754055764
ve,4.428832279295707
new,4.3051240106682815
problem,4.297909637472636
fix,4.295817560757982
year,4.2460132725080015
thing,4.239920398408922
design,4.221505870449482
phone,4.194652812643651
try,4.149290091836724
issue,3.9490922002872213
skip,3.9185938723275013
dialogue,3.8311157495670405
long,3.7508247582242102
feel,3.67843755241305
event,3.634483261873019
need,3.6131283467830424
make,3.6001414739490767
experience,3.595280022767157
end,3.3654541886824303
gameplay,3.3392270610682733
reward,3.304739541460047
want,3.267685491705362
open,3.244168429299595
hard,3.230280169816826
wish,3.2127944811625255
storyline,3.2001439685242805
pretty,3.1455636996341605
voice,3.1366504017999968
bad,3.091747346747865
boring,3.044694601223419
people,3.0239308657227695
device,2.9895785646516932
crash,2.9885839853522516
add,2.957396571277274
storage,2.8536760776016097
impact,2.8245644003560972
run,2.8095089026749536
exploration,2.7421762640350535
button,2.7416493500569206
easy,2.7150495528769985
beautiful,2.7077553166098873
work,2.677926144078963
mobile,2.6706296056382386
interesting,2.664716136531579
change,2.6539304258655676
android,2.6031707079013144
low,2.5860088593246187
nice,2.576813306365246
recommend,2.5583538752032613
bug,2.5486961633892684
start,2.5267695310096405
explore,2.52386099051178
think,2.4471455961339723
music,2.4327422712725144
use,2.4264815765014247
come,2.406260613179612
controller,2.40517113093751
say,2.36477582736965
worth,2.354574127709977
overall,2.32106436475684
friend,2.306901122877437
hour,2.2869368077805405
enjoy,2.28496579703583
especially,2.2843480999868953
hope,2.2505992427411257
space,2.2370095851535194
main,2.2303753212281534
spend,2.1259457829451742
download,2.1259321268238747
combat,2.1182653736682004
weapon,2.1032827947417143
thank,2.100238365208355
banner,2.09217030303121
annoying,2.087317772376025
actually,2.068841219857665
way,2.050727208186321
datum,2.048084193950814
control,2.0466337786955737
line,2.0415018983376294
support,2.039525485876547
look,2.0274206698059842
wait,1.998797068334701
understand,1.9660493829099288
lack,1.9556779152873822
grind,1.9271985587410199
point,1.896932161133908
day,1.8859880132668676
old,1.87695449860533
artifact,1.8755966393527044
developer,1.8571429795240395
month,1.8490593055210578
art,1.8382596730857605
highly,1.8097331573085353
different,1.8011685232561463
tell,1.7926312879895505
pc,1.7856751443929388
lag,1.7830161885511973
app,1.778212415926503
leave,1.7535655550365805
awesome,1.7528484338012582
fine,1.749345116651231
content,1.7372484148798104
real,1.736998598791673
gb,1.7300727715348023
style,1.717442621965211
able,1.716607102468433
natlan,1.7095033748500994
account,1.708216389566538
archon,1.70650147266357
edit,1.7035827600308666
scenery,1.7030664648431677
bit,1.7014669327787282
hoyoverse,1.6943795746151633
life,1.6929124050950344
review,1.6926772200707814
save,1.6881479166077438
ton,1.6861539670810768
release,1.6795667079001366
feature,1.6678183303243754
lore,1.6387597521265052
kick,1.6017163976194617
option,1.588211755909355
hate,1.5821322881517357
primogem,1.5688404226374675
guy,1.5632581437124136
reason,1.5588265784639106
cutscene,1.5579423432126598
qol,1.5510117657549838
talk,1.5490999374958263
stuff,1.5489109385597737
quality,1.5380395672101104
free,1.5159269071503656
skin,1.4858437063778454
know,1.4792048209534616
improve,1.4712378766734417
screen,1.4698341225347857
difficult,1.4545408755018427
slow,1.437940343089588
build,1.4360368355462145
listen,1.4186559456165144
strong,1.4162807109914917
fight,1.4057437594811626
level,1.3913567144326422
random,1.3886143830106557
pull,1.37496815011093
week,1.3663735357693167
building,1.3644256853949668
resin,1.353822562264871
mission,1.349254621448385
right,1.3420605035659148
puzzle,1.3387563041087729
cool,1.32370637171621
stunning,1.303640623521118
currency,1.3029363648377041
adventure,1.3028140446686576
high,1.3025471800993282
ll,1.2942796917602495
truly,1.2912940266389288
little,1.2789894228098646
help,1.2735716495713318
rating,1.2728112039522759
far,1.2616494662303772
laggy,1.257714655694333
consider,1.2558287419415524
incredible,1.249493337508519
rate,1.2446863960737207
honestly,1.2262484855123397
place,1.2193800748719505
limit,1.2183244163159332
repetitive,1.197405619601586
server,1.1721943204583267
buy,1.1707143801547086
delete,1.1633990085751207
daily,1.1629629172847409
bore,1.162410488249093
nation,1.1542658648730655
team,1.1524311535482368
domain,1.1470516323568174
setting,1.1469628813628836
complete,1.1455328211529656
devs,1.1403246970190677
animation,1.1386605323610823
reach,1.1288478098979542
mechanic,1.1192720344697058
wifi,1.1129832774974715
definitely,1.1099384712484115
sit,1.1056378669892728
rerun,1.1040495169755928
force,1.1023280918424907
stop,1.1022617558670327
battle,1.1018353330448245
maybe,1.0990867278604213
turn,1.0908684813452367
possible,1.0827398885951585
read,1.0820513395179367
enter,1.0804325513176312
fantastic,1.0769560961663147
load,1.0734102021636087
hoyo,1.0715053936667547
certain,1.0705844511589473
disappointing,1.0685532433647995
recent,1.068367510460363
usually,1.0662209567429548
ruin,1.0591531814073254
future,1.0518026412105501
fan,1.0493536085746653
happen,1.0445411941850071
completely,1.0415622228050596
excellent,1.0408351587436424
finally,1.0395105085186922
fact,1.039169271172034
upgrade,1.0378322460567713
provide,1.0346586261702704
big,1.0304989167421104
journey,1.0274522371796366
permanent,1.025254871869783
pity,1.0247330047738816
let,1.0221945987760899
gatcha,1.0131223477231708
plot,1.0068085997258056
beginning,1.0009939639805614
pick,0.9981449878950192
literally,0.9956932122691746
visual,0.9955794577916581
recently,0.9870963659525888
frustrating,0.9846589675067823
map,0.9805175076868075
aspect,0.9757130903890598
increase,0.972765985277318
favorite,0.9717195206433455
absolutely,0.9675372743252111
farming,0.9652504068440382
kinda,0.9569372460383622
plus,0.9514414878699652
endgame,0.9493354631145501
fighting,0.9470649401206119
speak,0.9411979539324893
gacha,0.9401547258070748
ill,0.933115916499783
major,0.9330496273650863
money,0.925227150068632
paimon,0.9249335449670519
achievement,0.9239590123554862
npc,0.9234868904249995
enemy,0.9178475722945392
progress,0.9162138509059585
elemental,0.9151475559276003
smooth,0.9149491197650012
loading,0.9123057834438741
fontaine,0.9087104228049572
huge,0.9081990069577394
notice,0.8942012712295356
lose,0.8921857261788071
redownloade,0.8913668857503689
matter,0.8899683732744723
drop,0.8869980385024889
standard,0.8867154513203661
include,0.8807974433263063
enjoyable,0.878040540979291
resource,0.8750094417401086
care,0.8747848924560511
tho,0.8726670823653871
impressed,0.8676619027865586
miss,0.8640065565663979
second,0.8605841328744079
compare,0.8603625523510838
potential,0.8601641815667482
ago,0.8584216206533359
boss,0.8565856824847105
quickly,0.855825319606135
bring,0.85273463492562
downside,0.8502345230399821
obtain,0.8448467452728251
region,0.8384157131719465
pop,0.8325400292150584
laptop,0.8317090836652721
deserve,0.8243131465883581
solve,0.8239596135011296
sure,0.8233738189807895
unique,0.8203937795994131
constantly,0.819711943937942
cost,0.8158952774986759
soon,0.815117032053533
insane,0.8148102270205272
weekly,0.8146695636815747
abyss,0.8113783534839426
collect,0.8032227511875912
coop,0.7994167519666855
special,0.7977858428108663
allow,0.7955592501122907
suck,0.7921899655451903
area,0.7907598808103492
commission,0.7907274548062526
ask,0.7875574765868394
company,0.7873926122799847
wild,0.7841721889747865
traveler,0.7790920253528061
act,0.7784051998400521
finish,0.7762715072616841
helpful,0.7705061746971382
decide,0.7699413603545258
instal,0.7685440635241167
memory,0.7681757201738035
waste,0.7671545878328978
energy,0.7639154689164048
power,0.7599831069094831
conversation,0.757675459593965
mean,0.7568386635516796
rlly,0.7566742385605727
user,0.7523546963560009
galaxy,0.7466697075678215
strike,0.7454052666301121
impossible,0.7450700989048169
entire,0.7422559648355356
smoothly,0.7418849087552644
minute,0.7401396175587047
sorry,0.7391572974644971
appreciate,0.7354160159391796
version,0.7346385674662922
mode,0.731667406035112
current,0.7269336056918434
mistake,0.7247374613985552
chance,0.7233615458206006
diversity,0.7195111358579179
ping,0.7100437327454836
soo,0.7082922131864627
weird,0.7062029114352959
purchase,0.7053704402031062
connection,0.7037217566547707
suggest,0.698521254552489
request,0.6953463565292558
lazy,0.6928805852639339
gaming,0.6905362824833138
yap,0.6901206054994101
improvement,0.6897221982348574
reset,0.6889736622053169
welkin,0.6858669970234788
slowly,0.6826275446342287
dialog,0.6811450977761837
lake,0.6808278922971884
short,0.678325399092738
reinstall,0.6779518337357362
fps,0.6739624081379307
chest,0.670165103933175
unable,0.6665207061096812
breathtake,0.6656473176017301
